iter	RMSE
0	0.3956034244
1	0.3852623252
2	0.375272641
3	0.3649833906
44	0.3486361421
5	0.3399444982
6	0.3321140142
7	0.3238802606
8	0.3159960434
9	0.3088257456
10	0.3018353587
11	0.2953172684
12	0.2890246578
13	0.2832313174
14	0.276874952
15	0.2711564087
16	0.2658439283
17	0.2602523406
18	0.2549415385
19	0.2498037895
20	0.2447063036
21	0.2398551046
22	0.2350348289
23	0.2308314531
24	0.2266509378
25	0.2224247859
26	0.2187769275
27	0.2146792772
28	0.2115743817
29	0.2080400919
30	0.2047705909
31	0.2015786374
32	0.1984824654
33	0.1958662631
34	0.1928105909
35	0.190195607
36	0.1876548602
37	0.185074748638	0.1825610794
39	0.1804933369
40	0.1782431872
41	0.17581135
42	0.1735827529
43	0.1713634307
44	0.1694853933
45	0.1676162285
46	0.1657262373
47	0.1638821639
48	0.1622131731
49	0.1606872
50	0.1592041442
51	0.1576120709
52	0.1561287636
53	0.1548874672
54	0.1536177903
55	0.1521738427
56	0.1508735427
57	0.1496498223
58	0.1484076589
59	0.1471746413
60	0.1462222874
61	0.1450591228
62	0.1439672404
63	0.1429427754
64	0.1419508251
65	0.1410552021
66	0.1401838316
67	0.1392897133
68	0.1384076869
69	0.137586765
70	0.1366699088
71	0.1359077573
72	0.1351037849
73	0.1343584442
74	0.1334344262
75	0.1328191396
76	0.1320600218
77	0.1316198464
78	0.1311109048
79	0.1304851664
80	0.1297650499
81	0.1291844975
82	0.1285652535
83	0.1278221752
84	0.127306956
85	0.1267621114
86	0.1261079149
87	0.1256087279
88	0.1249028413
89	0.1242791376
90	0.1237751579
91	0.1232746324
92	0.1226590053
93	0.1220566012
94	0.1216931853
95	0.1213817308
96	0.1208768034
97	0.1204873635
98	0.120026137
99	0.1195017528
100	0.1191664568
101	0.1186344612
102	0.1182372963
103	0.1178565604
104	0.1174617912
105	0.1171343912
106	0.1167517771
107	0.1162478936
108	0.1158478527
109	0.1154126386
110	0.1150662143
111	0.1146196166
112	0.1143242591
113	0.1139750034
114	0.1136077303
115	0.1132605723
116	0.1128308359
117	0.1124863641
118	0.1121557282
119	0.1118562205
120	0.1114866209
121	0.1112883192
122	0.1108665499
123	0.1105664755
124	0.1102264293
125	0.109903706
126	0.1096442909
127	0.1093542928
128	0.1090226201
129	0.1087307403
130	0.1084394008
131	0.1081911547
132	0.1078120471
133	0.1076166061
134	0.1073315462
135	0.1070930532
136	0.1067396794
137	0.1064538089
138	0.1061522223
139	0.105779398
140	0.1055638839
141	0.1052004534
142	0.1048396817
143	0.1045659011
144	0.1043120071
145	0.1041718726
146	0.1040003207
147	0.1037393157
148	0.1035586354
149	0.1034009797
150	0.1031365891
151	0.1029423762
152	0.1027295463
153	0.1026379065
154	0.1025416381
155	0.1022344624
156	0.1019741175
157	0.1017768907
158	0.1015056838
159	0.1014310512
160	0.1012806761
161	0.1010384764
162	0.100879842
163	0.1007107392
164	0.1005133906
165	0.1002606086
166	0.1000985595
167	0.09994124912
168	0.09969123518
169	0.09953458498
170	0.09937157131
171	0.09920231018
172	0.0990468463
173	0.09882418776
174	0.09865826208
175	0.09849900031
176	0.09827280082
177	0.09801917735
178	0.0977248246
179	0.09764720291
180	0.09742630687
181	0.09721858114
182	0.09714072317
183	0.09696544418
184	0.09679052575
185	0.0967322181
186	0.09664221377
187	0.09658334159
188	0.09639233501
189	0.09612120805
190	0.09600867087
191	0.09582968168
192	0.09560673889
193	0.09546380351
194	0.09533203954
195	0.09525106111
196	0.09509787689
197	0.09491057531
198	0.0945535472
199	0.09450800405
200	0.09433666009
201	0.09428810045
202	0.09408751239
203	0.09383393936
204	0.09359393583
205	0.09353269336
206	0.09331179547
207	0.0930855156
208	0.09297695132
209	0.09293450122
210	0.09283459124
211	0.0925379044
212	0.09249663523
213	0.09232641433
214	0.09227836601
215	0.09209476298
216	0.09199385056
