iter	Passed	Remaining
0	57	57824
1	59	29543
2	60	20228
3	61	15417
4	66	13236
5	68	11298
6	69	9865
7	70	8793
8	72	7990
9	74	7394
10	75	6788
11	76	6296
12	77	5886
13	79	5565
14	81	5335
15	83	5133
16	85	4935
17	86	4706
18	90	4679
19	91	4498
20	94	4398
21	95	4237
22	96	4113
23	99	4048
24	100	3928
25	103	3865
26	105	3791
27	107	3721
28	109	3651
29	110	3557
30	111	3476
31	112	3393
32	113	3318
33	114	3258
34	115	3195
35	117	3137
36	119	3097
37	1238	120	2964
39	121	2905
40	123	2885
41	125	2858
42	130	2897
43	131	2854
44	133	2834
45	135	2819
46	141	2860
47	142	2816
48	143	2789
49	146	2776
50	151	2817
51	152	2776
52	154	2755
53	157	2754
54	161	2781
55	162	2746
56	165	2739
57	167	2717
58	172	2755
59	173	2719
60	174	2684
61	176	2673
62	178	2657
63	182	2674
64	183	2645
65	185	2628
66	188	2625
67	192	2641
68	193	2609
69	194	2579
70	195	2551
71	199	2570
72	200	2542
73	201	2515
74	201	2490
75	202	2465
76	203	2440
77	207	2447
78	207	2422
79	208	2399
80	211	2396
81	212	2375
82	213	2359
83	214	2342
84	216	2333
85	218	2322
86	220	2317
87	222	2307
88	224	2297
89	226	2292
90	229	2288
91	231	2285
92	232	2272
93	236	2276
94	237	2264
95	239	2251
96	240	2242
97	242	2230
98	243	2216
99	245	2207
100	246	2196
101	248	2187
102	250	2177
103	251	2167
104	252	2154
105	254	2147
106	256	2138
107	257	2128
108	259	2120
109	260	2111
110	262	2100
111	264	2094
112	265	2086
113	267	2076
114	268	2065
115	269	2055
116	270	2045
117	272	2035
118	273	2025
119	274	2012
120	275	2001
121	276	1988
122	277	1980
123	278	1970
124	280	1960
125	281	1954
126	283	1945
127	284	1935
128	285	1929
129	287	1923
130	288	1916
131	290	1910
132	292	1904
133	293	1898
134	297	1908
135	298	1897
136	305	1924
137	306	1913
138	307	1903
139	308	1892
140	309	1883
141	310	1877
142	313	1876
143	314	1866
144	315	1862
145	317	1857
146	318	1849
147	320	1844
148	321	1838
149	323	1831
150	325	1827
151	326	1822
152	328	1817
153	330	1813
154	331	1807
155	332	1800
156	334	1795
157	335	1790
158	337	1787
159	339	1781
160	341	1778
161	342	1773
162	345	1771
163	345	1763
164	347	1760
165	349	1757
166	351	1751
167	352	1746
168	353	1740
169	354	1732
170	355	1723
171	356	1715
172	357	1707
173	358	1699
174	358	1692
175	359	1684
176	360	1676
177	361	1669
178	362	1661
179	363	1654
180	364	1647
181	364	1639
182	365	1632
183	366	1625
184	367	1619
185	368	1612
186	369	1607
187	370	1602
188	372	1599
189	374	1594
190	375	1589
191	376	1584
192	378	1582
193	380	1580
194	381	1576
195	384	1577
196	385	1570
197	387	1569
198	388	1563
199	390	1562
200	391	1555
201	393	1553
202	394	1549
203	396	1546
204	397	1543
205	398	1536
206	400	1533
207	402	1531
208	403	1528
209	405	1524
210	406	1520
211	407	1515
212	408	1510
213	410	1507
214	411	1503
215	412	1497
216	414	1497
217	416	1492
218	417	1490
219	419	1486
220	420	1483
221	422	1480
222	423	1477
223	425	1474
224	427	1472
225	428	1467
226	430	1464
227	431	1461
228	433	1457
229	434	1454
230	435	1450
231	437	1447
232	439	1445
233	440	1442
234	442	1439
235	443	1435
236	444	1432
237	446	1429
238	447	1425
239	448	1419
240	450	1419
241	452	1416
242	453	1412
243	454	1409
244	456	1407
245	458	1405
246	459	1400
247	461	1398
248	462	1395
249	464	1392
250	465	1389
251	466	1385
252	467	1381
253	469	1378
254	471	1377
255	472	1372
256	474	1371
257	476	1369
258	477	1366
259	478	1362
260	480	1361
261	483	1360
262	484	1358
263	486	1355
264	487	1352
265	488	1348
266	490	1345
267	492	1345
268	494	1344
269	495	1340
270	497	1337
271	498	1334
272	500	1331
273	501	1329
274	502	1324
275	503	1320
276	505	1319
277	506	1316
278	508	1314
279	510	1312
280	511	1308
281	512	1305
282	514	1302
283	515	1299
284	516	1297
285	517	1292
286	519	1291
287	521	1289
288	522	1286
289	523	1281
290	526	1282
291	527	1278
292	528	1276
293	530	1273
294	530	1268
295	533	1268
296	534	1265
297	536	1263
298	538	1262
299	539	1257
300	540	1254
301	540	1250
302	543	1249
303	543	1245
304	544	1240
305	545	1236
306	545	1232
307	546	1228
308	547	1223
309	548	1220
310	549	1216
311	549	1212
312	550	1208
313	551	1204
314	552	1200
315	552	1196
316	555	1195
317	555	1191
318	557	1189
319	558	1187
320	560	1185
321	561	1182
322	563	1180
323	564	1177
324	566	1177
325	568	1174
326	568	1170
327	570	1169
328	572	1167
329	574	1165
330	575	1162
331	576	1160
332	578	1158
333	580	1157
334	581	1154
335	582	1151
336	584	1149
337	585	1146
338	586	1143
339	588	1142
340	589	1139
341	591	1137
342	592	1135
343	594	1133
344	595	1131
345	597	1130
346	599	1128
347	601	1126
348	602	1123
349	603	1120
350	604	1117
351	605	1114
352	606	1111
353	607	1108
354	608	1105
355	609	1102
356	610	1099
357	611	1095
358	611	1092
359	612	1089
360	613	1085
361	614	1082
362	615	1079
363	616	1076
364	616	1073
365	617	1070
366	618	1067
367	619	1064
368	620	1061
369	621	1058
370	622	1055
371	623	1052
372	624	1049
373	625	1046
374	626	1044
375	627	1041
376	628	1038
377	628	1034
378	629	1031
379	630	1029
380	631	1026
381	632	1023
382	633	1020
383	634	1017
384	635	1014
385	636	1011
386	637	1009
387	637	1006
388	638	1003
389	639	1000
390	640	997
391	642	996
392	643	993
393	643	990
394	644	987
395	645	984
396	646	981
397	647	978
398	648	976
399	649	973
400	649	970
401	651	968
402	652	967
403	654	966
404	656	964
405	657	962
406	660	961
407	661	959
408	663	958
409	664	956
410	666	955
411	668	953
412	670	952
413	671	950
414	674	950
415	675	947
416	677	946
417	679	945
418	681	944
419	681	941
420	684	940
421	685	939
422	687	937
423	689	936
424	691	935
425	693	934
426	694	931
427	696	931
428	698	929
429	699	927
430	700	924
431	703	924
432	704	922
433	706	921
434	707	919
435	709	917
436	710	915
437	712	914
438	714	912
439	715	910
440	716	907
441	717	905
442	718	903
443	719	901
444	720	898
445	721	895
446	722	893
447	723	890
448	723	888
449	724	886
450	725	883
451	726	881
452	727	878
453	728	876
454	729	873
455	730	871
456	731	868
457	732	866
458	732	863
459	733	861
460	734	858
461	735	856
462	736	854
463	737	851
464	738	849
465	739	847
466	740	844
467	741	842
468	742	840
469	742	837
470	743	835
471	744	833
472	745	830
473	746	828
474	747	826
475	748	823
476	749	821
477	749	818
478	750	816
479	751	814
480	752	811
481	753	809
482	753	807
483	754	804
484	755	802
485	756	799
486	757	797
487	758	795
488	758	793
489	759	790
490	760	788
491	761	786
492	762	784
493	763	781
494	764	779
495	764	777
496	765	775
497	766	772
498	767	770
499	768	768
500	769	766
501	769	763
502	770	761
503	771	759
504	772	756
505	773	754
506	774	752
507	774	750
508	775	748
509	776	746
510	777	743
511	778	741
512	779	739
513	780	737
514	780	735
515	781	733
516	782	731
517	783	728
518	784	726
519	785	724
520	786	722
521	786	720
522	787	718
523	788	716
524	789	714
525	790	712
526	791	710
527	792	708
528	792	705
529	793	703
530	794	701
531	795	699
532	796	697
533	797	695
534	798	693
535	799	691
536	800	689
537	801	687
538	801	685
539	802	683
540	803	681
541	804	679
542	805	677
543	806	675
544	807	673
545	808	672
546	810	671
547	811	669
548	813	668
549	815	667
550	817	666
551	819	664
552	820	662
553	822	662
554	824	661
555	826	660
556	828	658
557	829	657
558	830	655
559	831	653
560	832	651
561	833	649
562	833	647
563	834	645
564	835	643
565	836	641
566	837	639
567	838	637
568	839	635
569	840	633
570	840	631
571	841	629
572	842	628
573	843	626
574	844	624
575	845	622
576	846	620
577	847	618
578	848	616
579	848	614
580	849	612
581	850	610
582	851	608
583	852	607
584	852	605
585	853	603
586	854	601
587	855	599
588	856	597
589	856	595
590	857	593
591	858	591
592	859	589
593	860	587
594	861	586
595	861	584
596	862	582
597	863	580
598	864	578
599	865	576
600	866	575
601	867	573
602	867	571
603	868	569
604	869	567
605	869	565
606	870	563
607	871	561
608	871	559
609	872	557
610	873	556
611	874	554
612	875	552
613	875	550
614	876	548
615	877	546
616	878	545
617	879	543
618	880	541
619	880	539
620	881	538
621	882	536
622	883	534
623	884	532
624	884	530
625	885	529
626	886	527
627	887	525
628	888	523
629	888	522
630	889	520
631	890	518
632	891	516
633	892	514
634	892	513
635	893	511
636	894	509
637	896	508
638	898	507
639	900	506
640	902	505
641	903	503
642	904	502
643	905	500
644	906	498
645	907	497
646	907	495
647	908	493
648	909	491
649	910	490
650	911	488
651	911	486
652	912	484
653	913	483
654	914	481
655	915	479
656	916	478
657	916	476
658	917	474
659	918	473
660	919	471
661	920	469
662	920	468
663	921	466
664	922	464
665	923	463
666	924	461
667	924	459
668	925	457
669	926	456
670	927	454
671	928	453
672	928	451
673	929	449
674	930	448
675	931	446
676	932	444
677	932	443
678	933	441
679	934	439
680	935	438
681	936	436
682	937	435
683	937	433
684	938	431
685	939	430
686	940	428
687	941	426
688	942	425
689	943	423
690	943	422
691	944	420
692	945	418
693	946	417
694	947	415
695	947	413
696	948	412
697	949	410
698	950	409
699	951	407
700	951	406
701	952	404
702	953	402
703	954	401
704	954	399
705	955	398
706	956	396
707	957	394
708	958	393
709	959	391
710	959	390
711	960	388
712	961	386
713	962	385
714	963	383
715	963	382
716	964	380
717	965	379
718	966	377
719	967	376
720	967	374
721	968	373
722	971	372
723	972	370
724	974	369
725	975	368
726	976	366
727	979	365
728	980	364
729	982	363
730	983	362
731	984	360
732	988	360
733	989	358
734	990	357
735	992	355
736	994	354
737	995	353
738	995	351
739	996	350
740	997	348
741	998	347
742	999	345
743	1000	344
744	1000	342
745	1001	341
746	1002	339
747	1003	337
748	1003	336
749	1004	334
750	1005	333
751	1006	331
752	1007	330
753	1007	328
754	1008	327
755	1009	325
756	1010	324
757	1011	322
758	1011	321
759	1012	319
760	1013	318
761	1014	316
762	1015	315
763	1016	313
764	1016	312
765	1017	310
766	1018	309
767	1019	307
768	1019	306
769	1020	304
770	1021	303
771	1022	301
772	1023	300
773	1023	298
774	1024	297
775	1025	295
776	1026	294
777	1026	293
778	1027	291
779	1028	290
780	1029	288
781	1030	287
782	1030	285
783	1031	284
784	1032	282
813	1033	236
814	1035	235
815	1036	233
816	1037	232
817	1040	231
818	1042	230
819	1043	229
820	1044	227
821	1047	226
822	1048	225
823	1050	224
824	1051	223
825	1054	222
826	1056	221
827	1057	219
828	1058	218
829	1059	217
830	1060	215
831	1061	214
832	1062	212
833	1063	211
834	1063	210
835	1064	208
836	1065	207
837	1066	206
838	1066	204
839	1067	203
840	1068	201
841	1069	200
842	1069	199
843	1070	197
844	1071	196
845	1072	195
846	1073	193
847	1073	192
848	1074	191
849	1075	189
850	1076	188
851	1076	187
852	1077	185
853	1078	184
854	1079	183
855	1080	181
856	1080	180
857	1081	179
858	1082	177
859	1083	176
832	1085	217
833	1086	216
834	1088	215
835	1089	213
836	1092	212
837	1094	211
838	1096	210
839	1098	209
840	1099	207
841	1100	206
842	1103	205
843	1104	204
844	1106	202
845	1107	201
846	1109	200
847	1110	199
848	1111	197
849	1112	196
850	1113	194
851	1114	193
852	1115	192
853	1116	190
854	1117	189
855	1118	188
856	1119	186
857	1120	185
858	1121	184
859	1122	182
860	1124	181
861	1125	180
862	1126	178
863	1127	177
864	1128	176
865	1129	174
866	1131	173
867	1132	172
868	1133	170
869	1134	169
870	1135	168
871	1136	166
872	1137	165
873	1138	164
874	1139	162
875	1140	161
876	1142	160
877	1143	158
878	1144	157
879	1145	156
880	1146	154
881	1147	153
882	1148	152
883	1150	150
884	1151	149
885	1152	148
886	1153	146
887	1154	145
888	1155	144
889	1156	142
890	1157	141
891	1158	140
892	1159	138
893	1160	137
894	1162	136
895	1163	135
896	1164	133
897	1165	132
898	1166	131
899	1167	129
900	1168	128
901	1170	127
902	1170	125
903	1172	124
904	1173	123
905	1174	121
906	1175	120
907	1176	119
908	1177	117
909	1177	116
910	1178	115
911	1178	113
912	1179	112
913	1179	111
914	1180	109
915	1181	108
916	1181	106
917	1182	105
918	1182	104
919	1183	102
920	1184	101
921	1184	100
922	1185	98
923	1186	97
924	1186	96
925	1187	94
926	1187	93
927	1188	92
928	1189	90
929	1189	89
930	1190	88
931	1190	86
932	1191	85
933	1191	84
934	1192	82
935	1192	81
936	1193	80
937	1193	78
938	1194	77
939	1194	76
940	1195	74
941	1195	73
942	1196	72
943	1196	70
944	1197	69
945	1197	68
946	1197	67
947	1198	65
948	1198	64
949	1199	63
950	1199	61
951	1200	60
952	1200	59
953	1201	57
954	1201	56
955	1202	55
956	1202	54
957	1203	52
958	1203	51
959	1204	50
960	1204	48
961	1205	47
962	1205	46
963	1206	45
964	1206	43
965	1207	42
966	1207	41
967	1208	39
968	1208	38
969	1209	37
970	1209	36
971	1210	34
972	1210	33
973	1211	32
974	1211	31
975	1212	29
976	1212	28
977	1213	27
978	1213	26
979	1214	24
980	1214	23
981	1215	22
982	1215	21
983	1216	19
984	1216	18
985	1217	17
986	1217	16
987	1218	14
988	1218	13
989	1219	12
990	1219	11
991	1220	9
992	1220	8
993	1221	7
994	1221	6
995	1222	4
996	1222	3
997	1223	2
998	1223	1
999	1224	0
